case_id, activity, enable_time, start_time, end_time, resource
30,Sequence A,2023-11-02 16:47:44.700165+00:00,2023-11-02 17:17:31.528869+00:00,2023-11-02 17:33:33.051154+00:00,Default resource profile 1_2
31,Sequence A,2023-11-02 16:48:54.231089+00:00,2023-11-02 17:17:44.076029+00:00,2023-11-02 17:29:00.788366+00:00,Default resource profile 1_0
32,Sequence A,2023-11-02 16:50:18.071403+00:00,2023-11-02 17:27:53.628012+00:00,2023-11-02 17:39:02.966163+00:00,Default resource profile 1_4
33,Sequence A,2023-11-02 16:51:08.600582+00:00,2023-11-02 17:29:00.788366+00:00,2023-11-02 17:39:48.604018+00:00,Default resource profile 1_0
34,Sequence A,2023-11-02 16:52:17.799433+00:00,2023-11-02 17:31:38.158219+00:00,2023-11-02 17:41:55.688129+00:00,Default resource profile 1_3
35,Sequence A,2023-11-02 16:53:47.298049+00:00,2023-11-02 17:33:33.051154+00:00,2023-11-02 17:46:19.635266+00:00,Default resource profile 1_2
36,Sequence A,2023-11-02 16:54:39.614637+00:00,2023-11-02 17:39:02.966163+00:00,2023-11-02 17:39:17.537599+00:00,Default resource profile 1_4
37,Sequence A,2023-11-02 16:55:42.339814+00:00,2023-11-02 17:39:17.537599+00:00,2023-11-02 17:55:59.346447+00:00,Default resource profile 1_4
38,Sequence A,2023-11-02 16:56:28.992383+00:00,2023-11-02 17:39:48.604018+00:00,2023-11-02 17:45:30.595514+00:00,Default resource profile 1_0
39,Sequence A,2023-11-02 16:57:17.704126+00:00,2023-11-02 17:41:55.688129+00:00,2023-11-02 17:53:15.392007+00:00,Default resource profile 1_3
40,Sequence A,2023-11-02 16:58:24.970990+00:00,2023-11-02 17:45:30.595514+00:00,2023-11-02 18:04:40.255854+00:00,Default resource profile 1_0
41,Sequence A,2023-11-02 16:59:02.336272+00:00,2023-11-02 17:46:19.635266+00:00,2023-11-02 17:59:31.024784+00:00,Default resource profile 1_2
